127.0.0.1, 2021-01-20 15:59:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:59:24, POST, /admin/default/index, HTTP/1.1, 303, 0.028000
127.0.0.1, 2021-01-20 15:59:24, GET, /admin/default/site, HTTP/1.1, 200, 0.051000
127.0.0.1, 2021-01-20 15:59:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-01-20 15:59:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.669000
127.0.0.1, 2021-01-20 15:59:27, GET, /places/default/index, HTTP/1.1, 200, 0.139000
127.0.0.1, 2021-01-20 15:59:27, GET, /places/static/images/favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-01-20 15:59:29, GET, /places/default/view/Albania-3, HTTP/1.1, 200, 0.091000
127.0.0.1, 2021-01-20 15:59:44, GET, /places, HTTP/1.1, 200, 0.120000
127.0.0.1, 2021-01-20 15:59:46, GET, /places, HTTP/1.1, 200, 0.107000
